Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
ERP117254/ERX4521872,0.17589207,H3K27me3,histone methylation,,ddm115,,
ERP117254/ERX4521873,1.887531,H3K27me3,histone methylation,,"ddm1, clf13",,
ERP117254/ERX4521878,0.26321828,H3K27me3,histone methylation,,clf24,,
ERP117254/ERX4521884,0.28275517,H3K27me3,histone methylation,,WT,,
ERP117254/ERX4521885,0.37212017,H3K27me3,histone methylation,,WT,,
ERP117254/ERX4521886,0.35074264,H3K27me3,histone methylation,,ddm15,,
ERP117254/ERX4521887,0.5764234,H3K27me3,histone methylation,,clf42,,
ERP117254/ERX4521888,0.6472705,H3K27me3,histone methylation,,"ddm1, clf36",,
ERP117254/ERX4521889,0.55653864,H3K27me3,histone methylation,,"ddm1, clf38",,
ERP124575/ERX4616358,1.1275616,H3,histone,Whole plant,,10.0,
ERP124575/ERX4616359,1.0170727,H3,histone,Whole plant,WT,10.0,
ERP008446/ERX611622,0.8971593,FRS12,Transcription factor,Whole plant,,10.0,
ERP008571/ERX620625,1.6868918,PPD2,DNA-binding protein,Leaf,ppd2,,21.0
ERP009986/ERX913129,0.7562122,TRB1,Transcription factor,Whole plant,WT,10.0,22.0
ERP009986/ERX913131,0.8361351,TRB1,Transcription factor,Whole plant,lhp1,10.0,22.0
ERP009927/ERX940496,5.1513534,H3ac,histone acetylation,Whole plant,,10.0,23.0
ERP009927/ERX940498,5.605664,H3ac,histone acetylation,Whole plant,,10.0,23.0
ERP009927/ERX940500,7.6808844,H3ac,histone acetylation,Whole plant,,10.0,23.0
ERP009927/ERX940508,6.336477,H3ac,histone acetylation,Whole plant,,10.0,23.0
ERP009927/ERX940510,5.9025316,H3ac,histone acetylation,Whole plant,,10.0,23.0
ERP009927/ERX940512,7.745964,H3ac,histone acetylation,Whole plant,,10.0,23.0
SRP035355/SRR1378619,0.9753205,bZIP1,Transcription factor,Root,,10.0,22.0
SRP049385/SRR1635352,9.369286,H3K36me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635391,12.275956,H3K36me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635487,6.206691,H3K4me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635489,6.5226035,H3K4me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635490,8.108474,H3K36me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635636,6.2128525,H3K4me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635669,13.172662,H3K36me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1635718,6.9108763,H3K4me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1636731,7.1067834,SDG8,DNA-binding protein,Shoot,,21.0,22.0
SRP049385/SRR1636732,1.8028933,SDG8,DNA-binding protein,Shoot,,21.0,22.0
SRP049385/SRR1636734,9.02982,H3K36me3,histone methylation,Shoot,,21.0,22.0
SRP049385/SRR1636736,8.467028,H3K36me3,histone methylation,Shoot,,21.0,22.0
SRP060347/SRR2088007,1.9373454,GATA22,Transcription factor,,,10.0,
SRP062041/SRR2145280,0.5835698,GATA22,Transcription factor,Whole plant,,10.0,
SRP068984/SRR3130010,0.35066757,LHP1,DNA-binding protein,Whole plant,lhp1,15.0,
SRP068984/SRR3130724,0.9707082,LIF2,DNA-binding protein,Whole plant,lif2,15.0,
SRP068984/SRR3133639,0.7388075,LHP1,DNA-binding protein,Whole plant,lhp1,15.0,
SRP068984/SRR3133903,0.34967753,LHP1,DNA-binding protein,Whole plant,lhp1,15.0,
SRP068984/SRR3133905,1.0445286,LIF2,DNA-binding protein,Whole plant,lif2,15.0,
SRP082180/SRR4034128,2.4362857,H3K4me3,histone methylation,Whole plant,,,
SRP082180/SRR4034130,2.900895,H3K4me3,histone methylation,Whole plant,,,
SRP082180/SRR4034132,3.2461736,H3K4me3,histone methylation,Whole plant,,,
SRP082180/SRR4034134,2.4904082,H3K4me3,histone methylation,Whole plant,,,
