Target,Prediction,Factor,Factor_type_specific,Tissue,Mutant_specific,Age,Temperature
SRP168223/SRX4995760,0.6253883,H3K27me3,histone methylation,Whole plant,ein6-1,3.0,
SRP168223/SRX4995761,0.7149765,H3K27me3,histone methylation,Whole plant,een-1,3.0,
SRP168223/SRX4995762,0.38612694,H3K27me3,histone methylation,Whole plant,ein6-1,3.0,
SRP168223/SRX4995763,2.8668852,H2AZ,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995764,3.1244824,H2AZ,histone related,Whole plant,ein6-1,3.0,
SRP168223/SRX4995765,3.2712824,H2AZ,histone related,Whole plant,een-1,3.0,
SRP168223/SRX4995766,2.8474758,H2AZ,histone related,Whole plant,ein6-1,3.0,
SRP168223/SRX4995777,9.478731,H3K4me3,histone methylation,Whole plant,WT,3.0,
SRP168223/SRX4995778,10.3094425,H3K4me3,histone methylation,Whole plant,ein6-1,3.0,
SRP168223/SRX4995779,10.202797,H3K4me3,histone methylation,Whole plant,een-1,3.0,
SRP168223/SRX4995780,9.115934,H3K4me3,histone methylation,Whole plant,ein6-1 + een-1,3.0,
SRP168223/SRX4995781,3.3260012,H2Aub,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995782,2.8586771,H2Aub,histone related,Whole plant,ein6-1,3.0,
SRP168223/SRX4995783,2.2574737,H2Aub,histone related,Whole plant,een-1,3.0,
SRP168223/SRX4995784,2.6613107,H2Aub,histone related,Whole plant,ein6-1,3.0,
SRP168223/SRX4995786,1.2341863,H3K27me3,histone methylation,Whole plant,WT,3.0,
SRP168223/SRX4995787,1.3943408,H3K27me3,histone methylation,Whole plant,ref61,3.0,
SRP168223/SRX4995788,1.2369118,H3K27me3,histone methylation,Whole plant,een-2,3.0,
SRP168223/SRX4995789,1.5277739,H3K27me3,histone methylation,Whole plant,ref61,3.0,
SRP168223/SRX4995790,1.191968,H3K27me3,histone methylation,Whole plant,ino80-1,3.0,
SRP168223/SRX4995791,1.1213787,H3K27me3,histone methylation,Whole plant,ref61,3.0,
SRP168223/SRX4995792,1.1722304,H3K27me3,histone methylation,Whole plant,arp51,3.0,
SRP168223/SRX4995793,1.5260242,H3K27me3,histone methylation,Whole plant,ref61,3.0,
SRP168223/SRX4995794,3.2797794,H2AZ,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995795,3.365964,H2AZ,histone related,Whole plant,ref61,3.0,
SRP168223/SRX4995796,3.133747,H2AZ,histone related,Whole plant,een-2,3.0,
SRP168223/SRX4995797,3.2253647,H2AZ,histone related,Whole plant,ref61,3.0,
SRP168223/SRX4995798,3.3719418,H2AZ,histone related,Whole plant,ino80-1,3.0,
SRP168223/SRX4995799,3.2761495,H2AZ,histone related,Whole plant,ref61,3.0,
SRP168223/SRX4995800,3.2768373,H2AZ,histone related,Whole plant,arp51,3.0,
SRP168223/SRX4995801,3.0596273,H2AZ,histone related,Whole plant,ref61,3.0,
SRP168223/SRX4995803,2.311105,H2AZ,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995805,3.3743353,H2AZ,histone related,Whole plant,een-1,3.0,
SRP168223/SRX4995817,1.726334,H3K27me3,histone methylation,Whole plant,WT,3.0,
SRP168223/SRX4995819,3.6578882,H2AZ,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995820,3.019153,H2AZ,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995821,2.9160979,H2AZ,histone related,Whole plant,ino80-8,3.0,
SRP168223/SRX4995822,3.2095528,H2AZ,histone related,Whole plant,ino80-8,3.0,
SRP168223/SRX4995824,2.011414,H2AZ,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995825,0.9401613,H2AZ,histone related,Whole plant,pie11,3.0,
SRP168223/SRX4995827,2.1567688,HTA11,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995828,2.234314,HTA11,histone related,Whole plant,WT,3.0,
SRP168223/SRX4995829,0.9505513,EIN6,Transcription factor,Whole plant,WT,3.0,
SRP168223/SRX4995832,0.8715802,EIN6,Transcription factor,Whole plant,ein6,3.0,
SRP168223/SRX4995834,1.0720026,EEN,DNA-binding protein,Whole plant,WT,3.0,
SRP168223/SRX4995836,1.7849752,H3K27me3,histone methylation,Whole plant,WT,35.0,21.0
SRP168223/SRX4995837,1.9161057,H3K27me3,histone methylation,Vegetative cells,ein6-1,35.0,21.0
SRP168223/SRX4995839,0.73155254,H3K27me3,histone methylation,Root,WT,3.0,
SRP168223/SRX4995840,1.6422613,H3K27me3,histone methylation,Root,ein6-1,3.0,
SRP168223/SRX4995842,0.69795966,H3K27me3,histone methylation,Shoot,WT,3.0,
SRP168223/SRX4995843,2.180881,H3K27me3,histone methylation,Shoot,ein6-1,3.0,
SRP168223/SRX4995845,0.65591884,H3K27me3,histone methylation,Whole plant,WT,3.0,
SRP168223/SRX4995846,0.75619304,H3K27me3,histone methylation,Whole plant,ein6-1,10.0,
SRP168223/SRX4995847,0.524443,H3K27me3,histone methylation,Flower,WT,35.0,21.0
SRP168223/SRX4995848,0.19789462,H3K27me3,histone methylation,Flower,ein6-1,35.0,21.0
SRP168223/SRX4995849,0.5293882,H3K27me3,histone methylation,Silique,WT,35.0,21.0
SRP168223/SRX4995850,0.32415614,H3K27me3,histone methylation,Silique,ein6-1,35.0,21.0
SRP168223/SRX4995851,1.0652504,H3K27me3,histone methylation,Whole plant,ein6-1,3.0,
SRP168223/SRX4995852,1.6456339,H3K27me3|H2AZ,histone related,Whole plant,ein6-1,3.0,
SRP168382/SRX5000422,0.16814286,H3K9me2,histone methylation,Whole plant,WT,14.0,24.0
SRP168382/SRX5000423,0.36308995,H3K9me2,histone methylation,Whole plant,met1-6,14.0,24.0
SRP168382/SRX5000426,0.93072677,open chromatin,open chromatin,,WT,14.0,
SRP168382/SRX5000431,0.9336653,open chromatin,open chromatin,,WT,14.0,
SRP168382/SRX5000434,0.89902294,open chromatin,open chromatin,,WT,14.0,
SRP168382/SRX5000437,1.0099294,open chromatin,open chromatin,,WT,14.0,
SRP168382/SRX5000440,0.54787654,open chromatin,open chromatin,,WT,14.0,
SRP168382/SRX5000445,0.71305305,open chromatin,open chromatin,,WT,14.0,
SRP168382/SRX5000447,0.50763166,open chromatin,open chromatin,,WT,14.0,
SRP168420/SRX5001348,0.5193099,SOB3,Transcription factor,Whole plant,SOB3,14.0,22.0
SRP168763/SRX5012070,1.4589537,WUS,Transcription factor,Whole plant,wus-GR,5.0,23.0
SRP169954/SRX5036313,0.984804,open chromatin,open chromatin,Root,WT,14.0,22.0
SRP170031/SRX5052418,53.868324,H3K27me3,histone methylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052419,53.28298,H3K27me3,histone methylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052424,4.099466,H3K27me3,histone methylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052425,6.0573597,H3K27me3,histone methylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052428,51.75134,H3K9ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052429,53.266754,H3K9ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052430,53.766434,H3K9ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052431,51.984,H3K9ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052436,53.917885,H3K14ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052437,54.765427,H3K14ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052438,52.657066,H3K14ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052439,54.04882,H3K14ac,histone acetylation,Whole plant,WT,7.0,23.0
SRP170031/SRX5052444,36.318893,H2AZ,histone related,Whole plant,HTA11,7.0,23.0
SRP170031/SRX5052445,39.830482,H2AZ,histone related,Whole plant,HTA11,7.0,23.0
SRP170031/SRX5052448,30.143213,PolIISer2P,RNA polymerase,Whole plant,WT,7.0,23.0
SRP170031/SRX5052449,28.300955,PolIISer2P,RNA polymerase,Whole plant,WT,7.0,23.0
SRP170031/SRX5052454,35.858162,HRE2,Transcription factor,Whole plant,HRE2-HA,7.0,23.0
SRP170031/SRX5052456,0.6200014,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP170031/SRX5052457,0.85920227,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP170031/SRX5052458,0.8211484,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP170031/SRX5052459,0.75709707,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP171626/SRX5084432,0.94564164,ANAC060,Transcription factor,Whole plant,anac60,10.0,22.0
SRP171626/SRX5084433,1.1709511,ANAC060,Transcription factor,Whole plant,anac60,10.0,22.0
SRP172050/SRX5088430,0.762077,open chromatin,open chromatin,Flower,WT,28.0,22.0
SRP172050/SRX5088432,0.97941506,open chromatin,open chromatin,Flower,WT,28.0,22.0
SRP172053/SRX5088558,3.4172454,H3ac,histone acetylation,Whole plant,WT,13.0,
SRP172054/SRX5088560,1.3473779,MBD9,DNA-binding protein,Shoot,mbd9-3,13.0,22.0
SRP172057/SRX5088603,2.0638084,H2AZ,histone related,Shoot,WT,13.0,22.0
SRP172057/SRX5088604,1.3727977,H2AZ,histone related,Shoot,mbd9-3,13.0,22.0
SRP172057/SRX5088605,1.1136585,H2AZ,histone related,Shoot,arp6-1,13.0,22.0
SRP172057/SRX5088606,0.68737745,H2AZ,histone related,Shoot,mbd9-3,13.0,22.0
SRP173236/SRX5124023,6.6147017,H3K4me3,histone methylation,Leaf,WT,21.0,
SRP173236/SRX5124025,6.232622,H3K4me3,histone methylation,Leaf,morc1,21.0,
SRP173236/SRX5124027,6.447369,H3K4me3,histone methylation,Leaf,ddc,21.0,
SRP173236/SRX5124029,1.1591382,MED12,Transcription factor,Inflorescence,cct-2,42.0,
SRP041096/SRX515067,1.1128778,AL5,DNA-binding protein,Whole plant,AL5 overexpression,21.0,22.0
SRP127815/SRX5169065,3.1164753,PolII,RNA polymerase,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169067,1.8477718,PolII,RNA polymerase,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169068,1.3654134,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169071,0.77032894,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169074,0.95305127,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169077,0.79095817,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169080,0.80211186,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169083,0.94541395,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169086,1.4207915,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169089,0.95910203,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP127815/SRX5169092,0.7875165,SPT6L,DNA-binding protein,Whole plant,spt6l,10.0,23.0
SRP174262/SRX5175404,4.0612583,H3K4me3,histone methylation,Whole plant,WT,5.0,23.0
SRP174262/SRX5175406,3.8826013,H3K4me3,histone methylation,Whole plant,hub1-3,5.0,23.0
SRP174372/SRX5177266,0.72269773,SDG2,DNA-binding protein,Whole plant,sdg2,5.0,23.0
SRP174372/SRX5177267,0.8449921,SDG2,DNA-binding protein,Whole plant,sdg2,5.0,23.0
SRP174372/SRX5177269,0.8758649,S2LB,DNA-binding protein,Whole plant,s2lb,5.0,23.0
SRP174372/SRX5177270,0.8910417,S2LB,DNA-binding protein,Whole plant,s2lb,5.0,23.0
SRP174376/SRX5177413,9.349836,H3K4me3,histone methylation,Whole plant,WT,6.0,
SRP174376/SRX5177415,9.582663,H3K4me3,histone methylation,Whole plant,s2la,6.0,
SRP174376/SRX5177417,12.176414,H3K4me3,histone methylation,Whole plant,s2lb,6.0,
SRP174376/SRX5177419,12.14153,H3K4me3,histone methylation,Whole plant,s2lab,6.0,
SRP174391/SRX5177968,1.3945943,MMP,DNA-binding protein,Whole plant,WT,5.0,23.0
SRP174391/SRX5177969,1.4173418,H3K4MG,histone related,Whole plant,WT,5.0,23.0
SRP174484/SRX5180324,0.59062755,SUVH1,DNA-binding protein,Whole plant,suvh1,10.0,22.0
SRP174570/SRX5184286,2.5165975,H3,histone,Whole plant,WT,18.0,22.0
SRP174570/SRX5184287,1.8658746,H3,histone,Whole plant,hda6,18.0,22.0
SRP174570/SRX5184288,2.2126753,H3,histone,Whole plant,hdc1,18.0,22.0
SRP174570/SRX5184289,2.609344,H3,histone,Whole plant,hda19,18.0,22.0
SRP174856/SRX5189559,1.0070517,H3K27me3,histone methylation,Whole plant,jmj13,7.0,22.0
SRP174856/SRX5189560,1.1009896,H3K27me3,histone methylation,Whole plant,WT,7.0,22.0
SRP174856/SRX5189561,4.5323167,H3K27me3,histone methylation,Whole plant,jmj13,7.0,22.0
SRP174856/SRX5189563,6.614993,H3K27me3,histone methylation,Whole plant,jmj13,7.0,28.0
SRP174856/SRX5189564,6.0874653,H3K27me3,histone methylation,Whole plant,WT,7.0,28.0
SRP176448/SRX5213591,0.99497914,DMS3,DNA-binding protein,Inflorescence,dms3-ZF X fwa,12.0,
SRP176448/SRX5213592,0.98008275,DMS3,DNA-binding protein,Inflorescence,dms3-ZF X fwa X drm12,12.0,
SRP176448/SRX5213593,0.9719699,DMS3,DNA-binding protein,Inflorescence,dms3-ZF X fwa X ago469,12.0,
SRP176448/SRX5213595,0.9310452,SUVH9,DNA-binding protein,Inflorescence,suvh9,12.0,
SRP176448/SRX5213596,0.97356904,SUVH9,DNA-binding protein,Inflorescence,suvh9,12.0,
SRP176448/SRX5213597,0.9639826,MORC6,DNA-binding protein,Inflorescence,fwa,12.0,
SRP176448/SRX5213598,0.92956513,MORC6,DNA-binding protein,Inflorescence,fwa X drm1/2,12.0,
SRP176448/SRX5213599,0.3083589,NRPE1,RNA polymerase subunit,Inflorescence,fwa,12.0,
SRP176448/SRX5213600,0.29497603,NRPE1,RNA polymerase subunit,Inflorescence,fwa x drm1/2,12.0,
SRP176448/SRX5213601,0.474503,NRPE1,RNA polymerase subunit,Inflorescence,DMS3-ZF,12.0,
SRP176448/SRX5213602,0.5827835,NRPE1,RNA polymerase subunit,Inflorescence,DMS3-ZF x drm 1/2,12.0,
SRP176448/SRX5213603,0.57181215,NRPE1,RNA polymerase subunit,Inflorescence,DMS3-ZF x ago4/6/9,12.0,
SRP176448/SRX5213604,0.34787816,NRPE1,RNA polymerase subunit,Inflorescence,suvh9,12.0,
SRP176448/SRX5213605,0.501584,NRPE1,RNA polymerase subunit,Inflorescence,suvh9 x drm1/2,12.0,
SRP176448/SRX5213606,0.35568678,NRPE1,RNA polymerase subunit,Inflorescence,morc6,12.0,
SRP176448/SRX5213607,0.5450664,NRPE1,RNA polymerase subunit,Inflorescence,morc6 x drm1/2,12.0,
SRP176448/SRX5213608,1.5100098,PolIISer5,RNA polymerase,Inflorescence,DMS3 x drm1/2,12.0,
SRP176448/SRX5213610,1.7890947,PolIISer5,RNA polymerase,Inflorescence,DMS3-ZF x nrpe1,12.0,
SRP176448/SRX5213617,1.1497122,FLAG,DNA-binding protein,Inflorescence,WT,12.0,
SRP176448/SRX5213620,1.2969784,DMS3,DNA-binding protein,Inflorescence,dms3-ZF,12.0,
SRP176448/SRX5213622,0.52576435,NRPE1,RNA polymerase subunit,Inflorescence,DMS3-ZF,12.0,
SRP176448/SRX5213626,0.29408857,NRPE1,RNA polymerase subunit,Inflorescence,WT,12.0,
SRP176448/SRX5213627,1.1022468,FLAG,DNA-binding protein,Inflorescence,fwa X drm1/2,12.0,
SRP176448/SRX5213628,2.018875,FLAG,DNA-binding protein,Inflorescence,fwa X ago469,12.0,
SRP176448/SRX5213629,0.30189785,NRPE1,RNA polymerase subunit,Inflorescence,fwa x ago4/6/9,12.0,
SRP176448/SRX5213630,0.9368589,FLAG,DNA-binding protein,Inflorescence,dms3-Zf X fwa,12.0,
SRP176448/SRX5213631,0.57563794,NRPE1,RNA polymerase subunit,Inflorescence,DMS3-ZF,12.0,
SRP176448/SRX5213632,0.7279532,AGO4,Transcription factor,Inflorescence,dms3-ZF X FWA,12.0,
SRP176448/SRX5213633,0.7875613,AGO6,DNA-binding protein,Inflorescence,dms3-ZF X FWA,12.0,
SRP176448/SRX5213634,0.6367423,AGO9,DNA-binding protein,Inflorescence,dms3-ZF X FWA,12.0,
SRP176448/SRX5213635,0.996518,FLAG,DNA-binding protein,Inflorescence,dms3-Zf X fwa X nrpd1,12.0,
SRP176448/SRX5213636,0.6449909,NRPE1,RNA polymerase subunit,Inflorescence,DMS3-ZF x nrpd1,12.0,
SRP176448/SRX5213637,0.9881011,AGO4,Transcription factor,Inflorescence,dms3-ZF X FWA X nrpd1,12.0,
SRP176448/SRX5213638,0.7933159,AGO6,DNA-binding protein,Inflorescence,dms3-ZF X FWA X nrpd1,12.0,
SRP176448/SRX5213639,0.8144126,AGO9,DNA-binding protein,Inflorescence,dms3-ZF X FWA X nrpd1,12.0,
SRP178471/SRX5242068,0.63411,H2AX,histone related,Whole plant,WT,14.0,23.0
SRP178471/SRX5242070,0.65372944,H2AX,histone related,Whole plant,alba1-1/alba2-1,14.0,23.0
SRP179923/SRX5257348,0.98134243,dCas9,Transcription factor,Whole plant,SunTag,14.0,
SRP135688/SRX5258176,0.83071125,REF6,DNA-binding protein,Whole plant,met1-1,10.0,22.0
SRP041522/SRX528779,0.53871834,MaASR,DNA-binding protein,Whole plant,,378.0,22.0
SRP183339/SRX5329165,2.1630955,H3K4me3,histone methylation,Shoot,WT,30.0,22.0
SRP183339/SRX5329167,2.6671672,H3K4me3,histone methylation,Shoot,,30.0,22.0
SRP185777/SRX5371352,0.89706886,TGA1,Transcription factor,,TGA1,13.0,22.0
SRP041827/SRX539638,1.0173439,SPCH,Transcription factor,Whole plant,spch2,4.0,
SRP186499/SRX5402989,0.82210994,SYD,DNA-binding protein,Whole plant,syd,14.0,22.0
SRP186499/SRX5402992,0.33814362,H3K27me3,histone methylation,Whole plant,WT,14.0,22.0
SRP166403/SRX5413161,0.70304966,open chromatin,open chromatin,Leaf,,10.0,23.0
SRP166403/SRX5413169,0.74828464,open chromatin,open chromatin,Leaf,,10.0,23.0
SRP187025/SRX5441810,0.49944872,H3K27me3,histone methylation,Callus,WT,15.0,
SRP187025/SRX5441811,0.5665104,H3K27me3,histone methylation,Callus,ldl3,15.0,
SRP187025/SRX5441812,0.47644848,H3K27me3,histone methylation,Callus,WT,15.0,
SRP187025/SRX5441813,0.5355074,H3K27me3,histone methylation,Callus,ldl3,15.0,
SRP187331/SRX5454258,0.5739176,PIF7,Transcription factor,Whole plant,pif7-myc,12.0,27.0
SRP187331/SRX5454259,0.9666168,PIF7,Transcription factor,Whole plant,pif7-myc,12.0,17.0
SRP187331/SRX5454260,0.7033153,PIF7,Transcription factor,Whole plant,pif7-myc,12.0,27.0
SRP187331/SRX5454261,0.702255,PIF7,Transcription factor,Whole plant,pif7-myc,12.0,17.0
SRP187795/SRX5488559,1.4024554,AGL16,Transcription factor,Whole plant,,10.0,
SRP187842/SRX5491562,0.9252308,H2AZ,histone related,Flower,arp6-1,28.0,
SRP187842/SRX5491566,0.46754074,H2AZ,histone related,Flower,myc,28.0,
SRP187842/SRX5491578,1.1029482,H2AZ,histone related,Flower,triple mutant,28.0,
SRP187842/SRX5491582,1.0035601,H2AZ,histone related,Flower,myc x nrp1,28.0,
SRP188198/SRX5507861,1.8267212,GRF1,Transcription factor,Whole plant,grf1,14.0,24.0
SRP188198/SRX5507864,3.1833577,GRF3,Transcription factor,Whole plant,grf3,14.0,24.0
SRP188451/SRX5523266,1.0187833,PolIISer2,RNA polymerase,Whole plant,tfIIs-1,10.0,22.0
SRP188451/SRX5523269,1.143512,PolIISer2,RNA polymerase,Whole plant,tfIIs-1,10.0,22.0
SRP188451/SRX5523272,1.010961,PolIISer5,RNA polymerase,Whole plant,WT,10.0,22.0
SRP188451/SRX5523275,1.2410553,PolIISer5,RNA polymerase,Whole plant,tfIIs-1,10.0,22.0
SRP188687/SRX5534451,6.6887507,H3,histone,Leaf,,7.0,21.0
SRP188687/SRX5534452,0.45054215,H3K27me3,histone methylation,Leaf,,7.0,21.0
SRP188687/SRX5534453,2.9255826,H3K36me3,histone methylation,Leaf,,7.0,21.0
SRP188687/SRX5534454,4.549063,H3K56ac,histone acetylation,Leaf,,7.0,21.0
SRP188687/SRX5534455,4.0676517,H3K4me3,histone methylation,Leaf,,7.0,21.0
SRP188687/SRX5534456,0.31478143,H3K4me1,histone methylation,Leaf,,7.0,21.0
SRP188687/SRX5534457,1.9999719,H2AZ,histone related,Leaf,,7.0,21.0
SRP188687/SRX5534550,0.8355955,open chromatin,open chromatin,Leaf,,7.0,25.0
SRP042366/SRX555089,1.0060397,FHY1,Transcription factor,Whole plant,fhy1-1,4.0,
SRP192399/SRX5676333,2.819345,PHE1,Transcription factor,Silique,phe1,10.0,21.0
SRP192399/SRX5676338,1.697072,H3,histone related,Embryo,,10.0,21.0
SRP192399/SRX5676339,1.157857,H3K27me3,histone methylation,Embryo,,10.0,21.0
SRP192706/SRX5692979,1.0116811,GI,DNA-binding protein,Whole plant,gi-2,10.0,22.0
SRP192706/SRX5692981,1.018218,PIF3,Transcription factor,Whole plant,PIF3ox,10.0,22.0
SRP192706/SRX5692983,0.9761976,PIF3,Transcription factor,Whole plant,gi-2,10.0,22.0
SRP193851/SRX5735621,0.67664874,H3K27me3,histone methylation,Whole plant,,7.0,22.0
SRP193851/SRX5735622,0.36241737,H3K27me3,histone methylation,Whole plant,,47.0,4.0
SRP193851/SRX5735623,0.4669913,H3K27me3,histone methylation,Whole plant,,57.0,4.0
SRP193851/SRX5735624,7.092015,H3K4me3,histone methylation,Whole plant,,7.0,22.0
SRP193851/SRX5735625,6.810566,H3K4me3,histone methylation,Whole plant,,47.0,4.0
SRP193851/SRX5735626,7.2096477,H3K4me3,histone methylation,Whole plant,,57.0,4.0
SRP193851/SRX5735627,6.452304,H3K36me3,histone methylation,Whole plant,,7.0,22.0
SRP193851/SRX5735628,6.379804,H3K36me3,histone methylation,Whole plant,,47.0,4.0
SRP193851/SRX5735629,6.892479,H3K36me3,histone methylation,Whole plant,,57.0,4.0
SRP193941/SRX5738791,0.9590672,DRD1,DNA-binding protein,Inflorescence,drd1,,
SRP193941/SRX5738792,0.8678081,DMS3,DNA-binding protein,Inflorescence,dms3,,
SRP193941/SRX5738793,1.0475029,RDM1,DNA-binding protein,Inflorescence,rdm1,,
SRP199446/SRX5893441,1.5757124,H2Aub,histone related,Leaf,WT,33.0,22.0
SRP199446/SRX5893446,1.0038947,H2Aub,histone related,Leaf,"ubp12-1, ubp13-3",33.0,22.0
SRP199446/SRX5893450,0.3484706,H3K27me3,histone methylation,Leaf,WT,33.0,22.0
SRP199446/SRX5893454,0.3681982,H3K27me3,histone methylation,Leaf,"ubp12-1, ubp13-3",33.0,22.0
SRP199505/SRX5900593,0.8553047,BDR1,DNA-binding protein,Whole plant,bdrs expressing Myc tag BDR1,8.0,22.0
SRP199505/SRX5900594,0.83220273,BDR3,DNA-binding protein,Whole plant,bdrs expressing Myc tag BDR3,8.0,22.0
SRP201123/SRX6044213,1.4257076,HDA6,DNA-binding protein,Whole plant,HDA6 GFP 1,14.0,22.0
SRP201247/SRX6057524,4.789035,H3ac,histone acetylation,Whole plant,,14.0,22.0
SRP201247/SRX6057525,4.2999816,H3ac,histone acetylation,Whole plant,hda6,14.0,22.0
SRP201247/SRX6057526,5.255051,H3ac,histone acetylation,Whole plant,"ldl1, ldl2",14.0,22.0
SRP201247/SRX6057527,4.2948694,H3ac,histone acetylation,Whole plant,"hda6, ldl1, ldl2",14.0,22.0
SRP201661/SRX6080524,1.3637216,HY5,Transcription factor,Whole plant,,3.0,21.0
SRP201661/SRX6080525,1.4148217,HY5,Transcription factor,Whole plant,,3.0,21.0
SRP201661/SRX6080526,1.235816,HY5,Transcription factor,Whole plant,,3.0,21.0
SRP201661/SRX6080528,0.9530902,HY5,Transcription factor,Whole plant,,3.0,21.0
SRP170031/SRX6081143,0.787035,open chromatin,open chromatin,Root,WT,7.0,23.0
SRP201898/SRX6095267,0.9987467,H3K4me2,histone methylation,Whole plant,WT,14.0,22.0
SRP201898/SRX6095268,1.0071149,H3K4me2,histone methylation,Whole plant,hda6,14.0,22.0
SRP201898/SRX6095269,0.7875168,H3K4me2,histone methylation,Whole plant,ldl2,14.0,22.0
SRP043541/SRX621712,2.146308,SUC2,DNA-binding protein,Whole plant,WT,7.0,
SRP043541/SRX621716,1.3836563,MBD7,DNA-binding protein,Whole plant,Mutant,7.0,
SRP212094/SRX6367393,5.039112,H3K36ac,histone acetylation,Root,,13.0,23.0
SRP212094/SRX6367396,5.455193,H3K36ac,histone acetylation,Root,,13.0,23.0
SRP212094/SRX6367399,6.1413846,H3K36ac,histone acetylation,Root,,13.0,23.0
SRP212094/SRX6367402,6.174344,H3K36ac,histone acetylation,Root,,13.0,23.0
SRP212094/SRX6367418,0.72444797,H3K27me3,histone methylation,Root,,13.0,23.0
SRP212094/SRX6367421,0.7933372,H3K27me3,histone methylation,Root,,13.0,23.0
SRP212174/SRX6370134,9.413992,H3K4me3,histone methylation,Whole plant,WT,3.0,22.0
SRP212174/SRX6370135,11.718981,H3K4me3,histone methylation,Whole plant,WT,3.0,22.0
SRP212174/SRX6370136,9.418842,H3K4me3,histone methylation,Whole plant,myc2,3.0,22.0
SRP212174/SRX6370137,9.533525,H3K4me3,histone methylation,Whole plant,myc2,3.0,22.0
SRP212174/SRX6370138,3.56748,H2AZ,histone related,Whole plant,WT,3.0,22.0
SRP212174/SRX6370139,2.7651072,H2AZ,histone related,Whole plant,WT,3.0,22.0
SRP212174/SRX6370140,3.2149,H2AZ,histone related,Whole plant,myc2,3.0,22.0
SRP212174/SRX6370141,3.0005698,H2AZ,histone related,Whole plant,myc2,3.0,22.0
SRP212540/SRX6381801,0.90810645,LUX,Transcription factor,Leaf,,,
SRP212939/SRX6403518,16.534843,H3K4me3,histone methylation,Whole plant,hac11,49.0,
SRP212939/SRX6403521,8.782933,H3K9ac,histone acetylation,Whole plant,hac11,49.0,
SRP212939/SRX6403522,10.089226,H3K9ac,histone acetylation,Whole plant,hac12,49.0,
SRP212939/SRX6403523,19.148916,H3K4me3,histone methylation,Whole plant,hac12,49.0,
SRP212939/SRX6403524,14.052305,H3K4me3,histone methylation,Whole plant,WT,49.0,
SRP212939/SRX6403525,7.719737,H3K9ac,histone acetylation,Whole plant,WT,49.0,
SRP213346/SRX6410178,1.5392185,bZIP68,Transcription factor,Whole plant,bZIP68,8.0,23.0
SRP212174/SRX6460101,0.7072459,MYC2,Transcription factor,Whole plant,myc2,3.0,22.0
SRP212174/SRX6460105,0.7687593,MYC3,Transcription factor,Whole plant,myc3,3.0,22.0
SRP212174/SRX6460108,0.9835545,STZ,Transcription factor,Whole plant,stz,3.0,22.0
SRP212174/SRX6460111,0.98415947,STZ,Transcription factor,Whole plant,stz,3.0,22.0
SRP212174/SRX6460113,0.86479735,ANAC055,Transcription factor,Whole plant,Anaco55,3.0,22.0
SRP212174/SRX6460120,1.8587091,ERF1,Transcription factor,Whole plant,erf1,3.0,22.0
SRP212174/SRX6460121,0.8185687,HY5,Transcription factor,Whole plant,hy5,3.0,22.0
SRP212174/SRX6460122,0.61052996,WRKY51,Transcription factor,Whole plant,wrrky51,3.0,22.0
SRP212174/SRX6460123,0.32421216,DREB2B,Transcription factor,Whole plant,Dreb2b,3.0,22.0
SRP212174/SRX6460124,0.5586349,RVE2,Transcription factor,Whole plant,rve2,3.0,22.0
